relative_path,parent_dataset,extension,size_bytes,modified_at,detected_format,encoding,schema_or_fields,spatial_fields,detected_crs,time_fields,time_coverage,row_count_estimate,source_or_owner_hint,license_hint,sensitivity_or_risk,proposed_ingestion_route,decision,decision_reason,follow_up_required
全國海灘環境調查\海灘資料-礁岩\海灘資料-礁岩\礁岩海岸範圍線段.dbf,全國海灘環境調查,.dbf,162585,2026-09-17T18:50:12+08:00,Shapefile,binary,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-礁岩\海灘資料-礁岩\礁岩海岸範圍線段.shp,全國海灘環境調查,.shp,260096,2026-09-17T18:50:12+08:00,Shapefile,binary,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全國海灘環境調查\海灘資料-礁岩\海灘資料-礁岩\礁岩海岸範圍線段.shx,全國海灘環境調查,.shx,2156,2026-09-17T18:50:12+08:00,Shapefile,binary,,,,,,,可能來自營建署或水利署海岸調查,未確認，需檢查政府開放資料授權,低,structured_evidence_candidate,候選,海灘 GIS Shapefile（沙灘、礁岩、突堤、防護工、高潮線、植生、海岸看板、安檢所）。可提供海岸地理環境結構化證據，不可轉成文字 RAG 文件。,確認 CRS（需檢查 .prj）；確認來源與授權
全海域基礎生態調查\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(北部海域)\資料說明.txt,全海域基礎生態調查（海生中心示範海域）,.txt,190,2026-09-17T18:51:56+08:00,Text,utf-8,,,,,,,海洋生物研究中心（海生中心）,可能為政府開放資料，需確認,中,structured_evidence_candidate,候選,北部、南部、澎湖海域生態調查 Excel。含分類群、座標、調查方法等。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構（需開啟 xlsx 表頭）；確認來源授權；確認 CRS
全海域基礎生態調查\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(北部海域)\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(北部海域)\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(北部海域).xlsx,全海域基礎生態調查（海生中心示範海域）,.xlsx,349618,2026-09-17T18:51:56+08:00,Excel,binary,,,,,,,海洋生物研究中心（海生中心）,可能為政府開放資料，需確認,中,structured_evidence_candidate,候選,北部、南部、澎湖海域生態調查 Excel。含分類群、座標、調查方法等。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構（需開啟 xlsx 表頭）；確認來源授權；確認 CRS
全海域基礎生態調查\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(南部海域)\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(南部海域).xlsx,全海域基礎生態調查（海生中心示範海域）,.xlsx,498874,2026-09-17T18:52:03+08:00,Excel,binary,,,,,,,海洋生物研究中心（海生中心）,可能為政府開放資料，需確認,中,structured_evidence_candidate,候選,北部、南部、澎湖海域生態調查 Excel。含分類群、座標、調查方法等。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構（需開啟 xlsx 表頭）；確認來源授權；確認 CRS
全海域基礎生態調查\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(南部海域)\資料說明.txt,全海域基礎生態調查（海生中心示範海域）,.txt,190,2026-09-17T18:52:03+08:00,Text,utf-8,,,,,,,海洋生物研究中心（海生中心）,可能為政府開放資料，需確認,中,structured_evidence_candidate,候選,北部、南部、澎湖海域生態調查 Excel。含分類群、座標、調查方法等。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構（需開啟 xlsx 表頭）；確認來源授權；確認 CRS
全海域基礎生態調查\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(澎湖海域)\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(澎湖海域).xlsx,全海域基礎生態調查（海生中心示範海域）,.xlsx,369865,2026-09-17T18:52:08+08:00,Excel,binary,,,,,,,海洋生物研究中心（海生中心）,可能為政府開放資料，需確認,中,structured_evidence_candidate,候選,北部、南部、澎湖海域生態調查 Excel。含分類群、座標、調查方法等。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構（需開啟 xlsx 表頭）；確認來源授權；確認 CRS
全海域基礎生態調查\110.11.24_海生中心示範海域生態資料_全國海洋資料庫展示用(澎湖海域)\資料說明.txt,全海域基礎生態調查（海生中心示範海域）,.txt,190,2026-09-17T18:52:08+08:00,Text,utf-8,,,,,,,海洋生物研究中心（海生中心）,可能為政府開放資料，需確認,中,structured_evidence_candidate,候選,北部、南部、澎湖海域生態調查 Excel。含分類群、座標、調查方法等。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構（需開啟 xlsx 表頭）；確認來源授權；確認 CRS
全海域基礎生態調查環境DNA\109年冬季_12S.json,全海域基礎生態調查環境 DNA,.json,110590,2026-07-29T12:23:23+08:00,JSON,utf-8,,,,,2020–2020,,海保署／海洋委員會,可能為 OGL 1.0（需確認）,中,structured_evidence_candidate,候選,eDNA 採樣 JSON（12S/16S/18S 標記基因）。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構；確認與已匯入 coral-reef-diving-rag eDNA 的重疊；確認授權
全海域基礎生態調查環境DNA\109年秋季_12S.json,全海域基礎生態調查環境 DNA,.json,110236,2026-07-29T12:22:00+08:00,JSON,utf-8,,,,,2020–2020,,海保署／海洋委員會,可能為 OGL 1.0（需確認）,中,structured_evidence_candidate,候選,eDNA 採樣 JSON（12S/16S/18S 標記基因）。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構；確認與已匯入 coral-reef-diving-rag eDNA 的重疊；確認授權
全海域基礎生態調查環境DNA\110年夏季_12S.json,全海域基礎生態調查環境 DNA,.json,78543,2026-07-29T12:24:28+08:00,JSON,utf-8,,,,,2021–2021,,海保署／海洋委員會,可能為 OGL 1.0（需確認）,中,structured_evidence_candidate,候選,eDNA 採樣 JSON（12S/16S/18S 標記基因）。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構；確認與已匯入 coral-reef-diving-rag eDNA 的重疊；確認授權
全海域基礎生態調查環境DNA\110年春季_12S.json,全海域基礎生態調查環境 DNA,.json,91439,2026-07-29T12:23:59+08:00,JSON,utf-8,,,,,2021–2021,,海保署／海洋委員會,可能為 OGL 1.0（需確認）,中,structured_evidence_candidate,候選,eDNA 採樣 JSON（12S/16S/18S 標記基因）。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構；確認與已匯入 coral-reef-diving-rag eDNA 的重疊；確認授權
全海域基礎生態調查環境DNA\112年春季_16S.json,全海域基礎生態調查環境 DNA,.json,90919,2026-07-29T12:27:51+08:00,JSON,utf-8,,,,,2023–2023,,海保署／海洋委員會,可能為 OGL 1.0（需確認）,中,structured_evidence_candidate,候選,eDNA 採樣 JSON（12S/16S/18S 標記基因）。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構；確認與已匯入 coral-reef-diving-rag eDNA 的重疊；確認授權
全海域基礎生態調查環境DNA\112年春季_18S.json,全海域基礎生態調查環境 DNA,.json,1047381,2026-07-29T13:46:27+08:00,JSON,utf-8,,,,,2023–2023,,海保署／海洋委員會,可能為 OGL 1.0（需確認）,中,structured_evidence_candidate,候選,eDNA 採樣 JSON（12S/16S/18S 標記基因）。歷史觀測不等於目前可見。不可轉成文字 RAG 文件。,確認欄位結構；確認與已匯入 coral-reef-diving-rag eDNA 的重疊；確認授權
全球深海珊瑚與海綿位置\全球深海珊瑚與海綿位置_20260416-1\DSCRTP_NatDB_20260416-1.csv,全球深海珊瑚與海綿位置（DSCRTP）,.csv,2753339081,2026-09-17T18:53:15+08:00,CSV,utf-8-sig,ShallowFlag; DatabaseVersion; DatasetID; CatalogNumber; SampleID; TrackingID; ImageURL; HighlightImageURL; Citation; Repository; ScientificName; VerbatimScientificName; VernacularNameCategory; VernacularName; TaxonRank,Repository; VernacularNameCategory; TaxonRank; Phylum; Family; Subfamily; TypeStatus; OperationalTaxonomicUnit,,IdentificationDate; ObservationDate; ObservationYear; ObservationTime,2026–2026,1801216,NOAA DSCRTP National Database,可能為公共領域（US Gov），需確認,低,pending_rights_review,待審核（out-of-scope 候選）,深海珊瑚資料。浮潛／休閒潛水範圍通常 <40m，深海資料用途有限。不可因與海洋相關就直接列為臺灣浮潛知識來源。,確認來源授權；評估臺灣範圍子集是否有潛水安全相關用途
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,52,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5152737,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,54296,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5534702,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,58754,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,5864039,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,62986,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,577365,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6155,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,558670,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,5962,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美潮位站\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,587307,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6288,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\CWA\七美資料浮標\LonLat.csv,歷史品管與即時海氣象水文觀測資料（CWA）,.csv,47,2026-09-17T18:53:55+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,CWA,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,CWA 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（CWA）；確認 qc 與 realtime 時間範圍
